period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
1_month_shifted,T1,109_3,365,15,3.02227954774711,4.5434074772291595,3.6277421966376324,30,115.47108543112259,0.8868768718586874
1_month_shifted,T2,109_3,731,10,2.869594297145702,3.463661693133607,3.098996156154437,20,86.19241388955484,0.5940636798779123
1_month_shifted,T3,109_3,1096,10,2.74648942381446,3.1754114303273613,2.908892179127193,20,74.4426768031233,0.8817116878399207
2_month_shifted,T1,109_3,365,10,2.96953680829033,3.994644760767363,3.3775659847165516,20,88.09066060643009,0.5372578960350438
2_month_shifted,T2,109_3,731,10,2.759241432730491,3.353308828718396,2.988643291739226,20,85.84763177021362,0.6042954978542017
2_month_shifted,T3,109_3,1096,10,2.664140463623362,3.0930624701362635,2.826543218936095,20,71.68034253389915,0.9222462366226398
3_month_shifted,T1,109_3,365,10,3.04768231245068,4.072790264927713,3.4557114888769016,20,73.66398762187208,0.8942983364215865
3_month_shifted,T2,109_3,731,10,2.7480346561104336,3.3421020520983387,2.9774365151191686,20,84.22287257381643,0.6518016169641438
3_month_shifted,T3,109_3,1096,10,2.7847183869304883,3.2136403934433897,2.9471211422432213,20,71.23140157081629,0.9277731251681367
original,T1,110_0,365,14,8.181221766134742,9.603145700215789,8.747197720532405,28,147.39027801502536,0.09351443063788635
original,T2,110_0,731,14,10.062753313030015,10.886782281658398,10.380955891655034,28,187.77943082692923,0.0002987606638142236
original,T3,110_0,1096,7,10.587087930655498,10.891484193342073,10.702341498941953,10,72.4202306222091,5.0318914693613785e-06
original,T4,110_0,1461,14,11.21244608362912,11.68317621914137,11.388131902441744,28,224.25111260964005,1.6909696332539006e-07
1_month_shifted,T1,110_0,365,14,8.351062051515715,9.772985985596762,8.917038005913378,28,139.2096544380884,0.1986743962093387
1_month_shifted,T2,110_0,731,15,10.14629832301777,11.027817684806275,10.486701081546862,30,198.38211641498137,0.0003151507819723808
1_month_shifted,T3,110_0,1096,14,10.570936152146205,11.165892483760874,10.79620449016064,28,213.8278873475319,1.7169031996764554e-06
