,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2016-10-20,6,14.559870792649999,10
2016-10-21,11,8.8683072363875,3
2016-10-22,8,-2.9963158974249997,0
2016-10-23,1,2.255590818276564,0
2016-10-24,7,9.39400956827344,13
2016-10-25,3,7.80232983620469,13
2016-10-26,2,1.655344768162501,7
2016-10-27,4,10.218073045218752,5
2016-10-28,1,8.655072445839064,7
2016-10-29,7,0.5518424507015633,0
2016-10-30,0,-1.670760652931249,0
2016-10-31,8,5.947158964187501,13
2016-11-01,9,17.491379634184376,3
2016-11-02,7,16.155338806948436,9
2016-11-03,8,12.596981480078124,4
2016-11-04,10,-0.4510693625812512,5
2016-11-05,0,-2.306223512353124,0
2016-11-06,0,-0.5030321544421847,0
2016-11-07,5,7.824751081142191,10
2016-11-08,1,6.207307842640627,7
2016-11-09,3,7.0561874062015635,1
2016-11-10,6,13.904476177020314,13
2016-11-11,7,1.2189684548171873,6
2016-11-12,0,1.1369006578781256,0
2016-11-13,0,-1.4056448663578116,0
2016-11-14,12,5.0606415707343775,6
2016-11-15,5,11.672260647823439,5
2016-11-16,16,11.840973856801563,4
2016-11-17,6,2.4121969225718747,3
2016-11-18,18,6.062981496426563,1
2016-11-19,4,0.004751018612500824,0
2016-11-20,14,-1.3425651741906235,0
2016-11-21,16,6.090188102392189,13
2016-11-22,2,14.611220145656251,3
2016-11-23,7,6.51883800558125,6
2016-11-24,0,-0.2556395464359378,5
2016-11-25,1,-1.4861365955812496,4
2016-11-26,9,-0.9306454093046859,0
2016-11-27,4,2.320707966181252,0
2016-11-28,19,7.208578471178126,4
2016-11-29,8,7.669831056390626,6
2016-11-30,9,10.316447732748436,5
2016-12-01,4,1.8623286497843745,4
2016-12-02,8,3.4951234511453126,3
2016-12-03,3,-0.39318024257187467,0
2016-12-04,1,0.029422061250001352,0
2016-12-05,12,5.200536378453126,7
2016-12-06,24,9.79919002201719,1
2016-12-07,17,1.1611757075718752,2
2016-12-08,19,2.6966264734890624,0
2016-12-09,11,6.8037182737562505,0
2016-12-10,2,-0.4951806839718744,0
2016-12-11,0,0.04509990305468825,0
2016-12-12,7,5.266688269448438,4
2016-12-13,1,2.8694075731203132,21
2016-12-14,5,0.9103298028625006,1
2016-12-15,1,5.141457548057813,7
2016-12-16,1,2.8905268578296877,4
2016-12-17,0,-1.0407481230187496,0
2016-12-18,0,0.37638309544687554,0
2016-12-19,4,1.4926141069484382,16
2016-12-20,1,0.4391419593703133,19
2016-12-21,3,0.5272071652218755,14
2016-12-22,0,-0.3946047636749996,10
2016-12-23,0,-0.24952411816562453,0
2016-12-24,0,-0.18322437977812456,0
2016-12-25,0,-0.10779238139374966,0
2016-12-26,0,-0.061034468015624815,0
2016-12-27,0,-0.051791187317187355,20
2016-12-28,1,-0.0374597143374999,12
2016-12-29,1,-0.017967165551562456,2
2016-12-30,0,-0.008398852535937478,8
2016-12-31,0,0.0,0
2017-01-01,0,0.0,0
2017-01-02,0,0.0,0
2017-01-03,6,2.0,19
2017-01-04,4,2.8,18
2017-01-05,0,15.61,7
2017-01-06,0,9.207999999999998,14
2017-01-07,0,-0.9468250000000014,0
2017-01-08,0,-1.1452210000000005,0
2017-01-09,5,5.2362257250000015,8
2017-01-10,9,18.82467107,6
2017-01-11,9,12.26904333521875,10
2017-01-12,11,8.045099328381248,11
2017-01-13,7,6.217542762892187,12
2017-01-14,0,-0.5831772799968737,0
2017-01-15,1,-1.7317002659109355,0
2017-01-16,1,-1.1537400300359353,9
2017-01-17,5,5.103039259406253,1
