,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2018-11-13,1.4457476096,0,1
2018-11-14,0.255233536,1,0
2018-11-15,1.3767524352,0,0
2018-11-16,-0.7683765248,2,0
2018-11-17,-0.4145399807999998,2,0
2018-11-18,-0.2778352639999999,5,0
2018-11-19,3.8370103296,1,0
2018-11-20,4.080258048,0,1
2018-11-21,-1.4190290944,0,1
2018-11-22,1.3348201471999996,0,1
2018-11-23,-0.8156447743999999,0,1
2018-11-24,-0.4550827008000002,5,0
2018-11-25,-0.3053952000000002,5,0
2018-11-26,0.7629491199999998,3,0
2018-11-27,-0.3932564479999998,0,2
2018-11-28,-0.24267356159999964,0,1
2018-11-29,3.855799808,0,3
2018-11-30,-0.8623754239999997,0,1
2018-12-01,-0.3704747008000002,3,0
2018-12-02,-0.21242880000000014,0,0
2018-12-03,-0.15132672000000005,2,1
2018-12-04,73.883468288,4,2
2018-12-05,-11.894184550399997,4,0
2018-12-06,-2.587706880000005,12,0
2018-12-07,-2.6495508480000023,3,0
2018-12-08,-2.4002774016000012,5,0
2018-12-09,-2.5424640000000007,0,0
2018-12-10,1.101260799999999,0,0
2018-12-11,-0.1312076800000006,0,0
2018-12-12,12.078141952000005,0,0
2018-12-13,7.796004454400003,3,0
2018-12-14,0.13395886079999997,11,0
2018-12-15,-2.671387545600001,4,0
2018-12-16,-1.5180848128000006,8,0
2018-12-17,0.9431888895999996,4,0
2018-12-18,0.796148224,9,0
2018-12-19,0.7895528447999998,8,0
2018-12-20,-0.16720250879999932,7,0
2018-12-21,-0.938130329599999,12,0
2018-12-22,-0.5014550527999995,12,0
2018-12-23,4.7429929984,11,0
2018-12-24,-0.1593830399999998,5,0
2018-12-25,-0.7290224640000003,2,0
2018-12-26,0.5720036352,5,0
2018-12-27,-0.48664084479999986,5,0
2018-12-28,-0.28060641280000004,5,0
2018-12-29,-0.18814935040000008,5,0
2018-12-30,-0.13866240000000007,0,0
2018-12-31,-0.11440127999999972,2,0
2019-01-01,-0.09716326399999978,16,0
2019-01-02,0.9706039296,0,1
2019-01-03,0.785612288,0,2
2019-01-04,0.7075306496,0,0
2019-01-05,-0.32800000000000007,0,0
2019-01-06,-0.16160000000000013,0,0
2019-01-07,0.8928639999999999,0,2
2019-01-08,4.7204352,7,2
2019-01-09,-1.1428915199999998,0,1
2019-01-10,-0.49974323200000037,0,2
2019-01-11,4.6826162176,2,1
2019-01-12,-0.22039306239999967,7,0
2019-01-13,1.2394218495999996,1,0
2019-01-14,2.1609292799999995,10,1
