,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2023-02-04,-2.4479077375999996,0,0
2023-02-05,-0.9503963136000001,0,0
2023-02-06,-0.5538560000000003,0,0
2023-02-07,-0.3850496000000003,0,1
2023-02-08,1.7102643199999998,0,0
2023-02-09,-1.0291727359999998,0,0
2023-02-10,-0.42765527039999995,0,0
2023-02-11,-0.252613632,0,0
2023-02-12,-0.1343926272000001,0,0
2023-02-13,-0.059904000000000034,0,0
2023-02-14,-0.04592640000000001,0,0
2023-02-15,0.96325888,0,0
2023-02-16,3.569688576,0,0
2023-02-17,0.25440368640000033,0,0
2023-02-18,-1.3439999999999999,0,0
2023-02-19,-0.5376000000000001,0,0
2023-02-20,-0.3243520000000002,0,0
2023-02-21,-0.22597120000000015,0,0
2023-02-22,-0.17012736000000006,0,1
2023-02-23,1.865435648,0,1
2023-02-24,1.0898378752000002,0,0
2023-02-25,-1.1215040511999999,0,0
2023-02-26,-0.3935963136,0,0
2023-02-27,-0.2112000000000001,0,0
2023-02-28,-0.14310400000000012,0,0
2023-03-01,-0.10583040000000005,0,0
2023-03-02,2.91733248,0,0
2023-03-03,-0.2670525439999998,0,0
2023-03-04,-0.8159077375999999,0,0
2023-03-05,-0.3375963136,0,0
2023-03-06,-0.18880000000000013,0,0
2023-03-07,-0.1314560000000001,0,0
2023-03-08,1.9011584,0,0
2023-03-09,2.12192512,0,0
2023-03-10,-0.5038376959999997,0,0
2023-03-11,-0.9415501823999999,0,0
2023-03-12,-0.40799815680000007,0,0
2023-03-13,-0.24870400000000017,0,0
2023-03-14,-0.1773824000000001,0,0
2023-03-15,0.86441728,0,0
2023-03-16,5.491613696,0,0
2023-03-17,-1.6094340095999993,0,0
2023-03-18,-1.2375501824,0,0
2023-03-19,-0.5583981568,0,0
2023-03-20,-0.3435520000000003,0,0
2023-03-21,-0.24427520000000016,0,0
2023-03-22,2.81389824,0,0
2023-03-23,1.6516577280000002,0,0
2023-03-24,1.3178970112000004,0,0
2023-03-25,-1.8439446527999996,0,0
2023-03-26,-0.6895981568000001,0,0
2023-03-27,-0.4066560000000002,0,0
2023-03-28,0.7164543999999998,0,1
2023-03-29,-0.61385728,0,1
2023-03-30,-0.28946841599999995,0,0
2023-03-31,-0.20297328639999995,0,0
2023-04-01,-0.1254616064,0,0
2023-04-02,-0.06834647040000001,0,0
2023-04-03,-0.022963200000000007,0,0
2023-04-04,-0.018370559999999994,0,0
2023-04-05,-0.015155711999999993,0,0
2023-04-06,5.9872018432,0,0
2023-04-07,-1.3999999999999995,0,0
2023-04-08,-1.1199999999999999,0,1
2023-04-09,-0.504,0,0
2023-04-10,-0.31360000000000027,3,0
2023-04-11,-0.22131200000000015,0,0
2023-04-12,0.8322687999999999,0,0
2023-04-13,3.46681344,0,0
2023-04-14,-0.8293048319999996,0,0
2023-04-15,-1.0359446527999998,0,0
2023-04-16,-0.43039815680000004,0,0
2023-04-17,-0.2603520000000002,0,0
2023-04-18,-0.18437120000000012,0,2
2023-04-19,1.85982464,0,0
2023-04-20,1.0883988480000002,0,0
2023-04-21,1.8682084352000001,11,0
2023-04-22,-1.6343483391999998,2,2
2023-04-23,-0.5839981568000001,0,0
2023-04-24,-0.3351040000000001,1,0
2023-04-25,0.7693695999999999,0,0
2023-04-26,0.42747648000000005,0,0
2023-04-27,0.34405785600000005,2,0
2023-04-28,2.3049805824000003,3,0
2023-04-29,-0.49666344959999975,0,0
2023-04-30,-0.9339464704,0,0
2023-05-01,-0.4065152000000001,1,0
2023-05-02,-0.26008576000000017,2,0
2023-05-03,3.812054528,0,0
2023-05-04,-1.7451660287999997,2,0
2023-05-05,0.4139712512,0,0
2023-05-06,-0.7326358527999999,0,0
2023-05-07,-0.3399501824000002,3,0
2023-05-08,-0.19660615680000007,1,0
2023-05-09,-0.13345280000000007,1,0
2023-05-10,-0.10343424,0,0
2023-05-11,-0.08358604799999998,0,0
2023-05-12,3.9304368128,0,0
2023-05-13,-1.6151557119999997,0,0
2023-05-14,-0.4927981568,2,0
