,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2020-10-09,1.3424165480546875,0,0
2020-10-10,4.14890655646875,0,0
2020-10-11,-0.7605715043015617,1,0
2020-10-12,15.826648239125001,1,1
2020-10-13,4.511923911651563,1,0
2020-10-14,10.915218781684375,0,0
2020-10-15,4.414286250260937,0,0
2020-10-16,7.830856079550001,2,0
2020-10-17,-2.348102480101562,0,0
2020-10-18,0.6432170530125019,2,0
2020-10-19,9.820156398018751,0,0
2020-10-20,9.070735539948439,0,0
2020-10-21,10.740721677029688,0,0
2020-10-22,10.457718964295312,3,0
2020-10-23,7.254878763423438,0,0
2020-10-24,1.4591291270921878,1,0
2020-10-25,-0.9173548053593739,0,0
2020-10-26,4.670920327718752,0,0
2020-10-27,7.409671280506252,2,0
2020-10-28,11.044719465182814,2,0
2020-10-29,5.5462568766515625,0,0
2020-10-30,8.821250085329687,0,0
2020-10-31,-0.3755680106234376,0,0
2020-11-01,-1.5489907986718738,0,0
2020-11-02,6.993498236840627,3,0
2020-11-03,11.450020340620314,1,0
2020-11-04,13.73536866639375,0,0
2020-11-05,8.121257050473437,0,0
2020-11-06,8.310113729157813,0,0
2020-11-07,-2.6431761559593747,0,0
2020-11-08,0.43456214607343946,0,0
2020-11-09,9.724691062428127,0,0
2020-11-10,5.974071494625002,0,0
2020-11-11,12.956855583009375,0,0
2020-11-12,11.256084112532813,0,0
2020-11-13,9.075815257503125,0,0
2020-11-14,-1.8240470960671873,0,0
2020-11-15,1.2627715921046891,1,0
2020-11-16,8.535510365218752,3,0
2020-11-17,13.954686594256252,0,0
2020-11-18,15.130828999229688,0,0
2020-11-19,15.592924336978125,0,0
2020-11-20,7.172799212242187,3,0
2020-11-21,-1.2427509254406242,0,0
2020-11-22,-0.141548757196873,0,0
2020-11-23,13.35517804591719,0,0
2020-11-24,13.284199197235939,1,0
2020-11-25,22.762544446390628,0,0
2020-11-26,3.5167678588937488,0,0
2020-11-27,-0.24950297669374955,0,0
2020-11-28,3.7133076911453142,0,0
2020-11-29,-0.08923458392655981,0,0
2020-11-30,8.447232525146877,0,0
2020-12-01,16.868044634693753,0,0
2020-12-02,11.747866751210939,1,0
2020-12-03,5.710581113518749,0,0
2020-12-04,4.2374716661906255,0,0
2020-12-05,-1.2750369618343735,0,0
2020-12-06,-1.5240697032015602,1,0
2020-12-07,5.897241308753127,0,0
2020-12-08,11.461120498521877,1,0
2020-12-09,19.70087022109375,0,0
2020-12-10,9.504303002832811,1,0
2020-12-11,15.891947008570313,0,0
2020-12-12,11.352908689817188,0,0
2020-12-13,0.44991288173281285,1,0
2020-12-14,9.503158111214063,0,0
2020-12-15,14.089634232640627,0,0
2020-12-16,3.4314967330453143,0,0
2020-12-17,6.154614491939064,0,0
2020-12-18,10.27070975875625,0,0
2020-12-19,5.040799975985939,0,0
2020-12-20,9.434455921582813,0,0
2020-12-21,11.249585642398438,1,0
2020-12-22,2.9891946599187507,0,0
2020-12-23,10.593620712053127,0,1
2020-12-24,6.173407887029688,0,0
2020-12-25,-0.533096936142186,0,0
2020-12-26,-1.7717809620265608,0,0
2020-12-27,1.785062882907815,0,0
2020-12-28,1.8312253510250023,0,0
2020-12-29,8.906213297350002,0,0
2020-12-30,3.309596522653125,0,0
2020-12-31,7.60156402433125,0,0
2021-01-01,-0.7378250426078128,0,0
2021-01-02,3.9633124136453133,0,0
2021-01-03,-1.1555448313218744,0,0
2021-01-04,6.286347597203126,1,0
2021-01-05,12.761138228345313,0,0
2021-01-06,9.870764468485937,0,0
2021-01-07,9.6450808808125,0,0
2021-01-08,8.511349661429687,1,0
2021-01-09,2.4752812829109376,0,0
2021-01-10,0.04104099488593849,0,0
2021-01-11,6.516230688570314,1,0
2021-01-12,9.166577411390627,0,0
2021-01-13,10.71858639502969,0,0
2021-01-14,23.344781065809375,0,0
2021-01-15,3.9005197921312487,0,0
2021-01-16,3.0154483201468754,0,0
2021-01-17,-0.4146091854734366,0,0
2021-01-18,4.260594653789065,0,0
2021-01-19,16.168183469553128,0,0
2021-01-20,7.961218360290626,0,0
2021-01-21,5.170466850401563,1,0
2021-01-22,12.510108633626563,0,0
2021-01-23,1.9700716274406256,0,0
2021-01-24,-0.1461491658812486,0,0
2021-01-25,9.431907606253127,0,0
2021-01-26,13.809952246834376,0,0
2021-01-27,13.052986741753125,0,0
2021-01-28,13.70198070368125,0,0
2021-01-29,9.463329611729687,0,0
2021-01-30,-0.32139227177187424,0,0
2021-01-31,-2.2987618831171854,0,0
2021-02-01,10.491615752539065,2,0
2021-02-02,14.661762261756252,0,0
2021-02-03,6.841761011354688,0,0
2021-02-04,10.197476102425,0,0
2021-02-05,7.036802949409375,0,0
2021-02-06,0.28488684893593863,1,0
2021-02-07,0.10305607798593908,0,0
2021-02-08,8.56814487489219,0,0
2021-02-09,7.9733245325625015,0,0
2021-02-10,12.724354323303126,0,0
2021-02-11,6.1610229504828125,0,0
2021-02-12,3.5423419054375005,0,0
2021-02-13,-0.0647658268734368,0,0
2021-02-14,0.5358940180937519,0,0
2021-02-15,9.82439597886094,0,0
2021-02-16,12.063126264771876,0,0
2021-02-17,9.445439288234375,0,0
2021-02-18,12.37661293815625,0,0
2021-02-19,7.996495192320312,1,0
2021-02-20,4.234929781582813,0,0
2021-02-21,-2.332583771246874,0,0
2021-02-22,12.525928335146878,0,0
2021-02-23,16.496156204256252,0,0
2021-02-24,8.591179947385939,0,0
2021-02-25,13.889591477059374,0,0
2021-02-26,10.470749328084375,0,0
2021-02-27,-2.4341121049609367,3,0
2021-02-28,-1.1123019940046857,0,0
2021-03-01,9.44715454724844,2,0
2021-03-02,13.760559489031252,0,0
2021-03-03,14.9739425497,0,0
2021-03-04,8.482461784379687,0,0
2021-03-05,0.8586744383031251,1,0
2021-03-06,0.7381231659203138,2,0
2021-03-07,-0.7348210822687475,0,0
2021-03-08,6.7623584756984405,0,0
2021-03-09,13.265383339292189,0,0
2021-03-10,8.381934431354688,0,0
2021-03-11,4.4356035701437495,0,0
2021-03-12,9.846223325665626,0,0
2021-03-13,-0.45287408374374927,0,0
2021-03-14,-1.5872288954406235,0,0
2021-03-15,17.925133621876565,0,0
2021-03-16,8.286099812089063,0,0
2021-03-17,13.385393738228125,1,0
2021-03-18,14.864432245039062,0,0
2021-03-19,8.455098550995313,1,0
2021-03-20,2.804695133560938,1,0
2021-03-21,-2.5308853439624985,0,0
2021-03-22,9.385846928678127,0,0
2021-03-23,16.676527693953126,0,0
2021-03-24,16.608378993645314,0,0
2021-03-25,8.131688431354686,1,0
2021-03-26,0.6125047951437499,0,0
2021-03-27,-1.4124330293343732,0,0
2021-03-28,0.35555350397500285,0,0
2021-03-29,12.648212988534379,0,0
2021-03-30,11.626177078078126,0,0
2021-03-31,12.173867099807813,1,0
2021-04-01,8.876841386504687,0,0
2021-04-02,14.06415789559375,1,0
2021-04-03,0.64111329625625,0,0
2021-04-04,-0.29219129065937377,0,0
2021-04-05,7.278683348932814,0,0
2021-04-06,7.8478404777093775,0,0
2021-04-07,11.605475338528127,0,0
2021-04-08,9.1697208017625,0,0
2021-04-09,4.184760569523438,0,0
2021-04-10,-0.32482211169687414,1,0
2021-04-11,3.3708582498265645,0,0
2021-04-12,6.452720072575001,0,0
2021-04-13,7.181843840287502,1,0
2021-04-14,7.958829049520313,0,0
2021-04-15,20.788250649921874,1,0
2021-04-16,1.4112326595593743,1,0
2021-04-17,-0.39065837654062463,0,0
2021-04-18,-0.6708689250328113,0,0
2021-04-19,2.7592480473500025,1,1
2021-04-20,5.673998091945315,0,0
2021-04-21,3.4026223625718766,0,0
2021-04-22,12.525866120770313,0,0
2021-04-23,11.69088101903125,0,0
2021-04-24,-1.6579690784046877,0,0
2021-04-25,-1.4700023849609374,0,0
2021-04-26,7.023266359412501,1,0
2021-04-27,17.466452459151565,0,0
2021-04-28,-0.8466072575031252,0,0
2021-04-29,12.254669794670313,0,0
2021-04-30,0.45877559510156196,0,0
